name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Kakuro-hard-010-ext.xml.hg,3.0,3.0,3,3.0,60,1080.06
Kakuro-hard-011-ext.xml.hg,3.0,4.0,3,4.0,60,1146.74
Kakuro-hard-012-ext.xml.hg,3.0,3.0,3,3.0,60,830.73
Kakuro-hard-013-ext.xml.hg,3.0,3.0,3,3.0,60,1156.9
Kakuro-hard-014-ext.xml.hg,3.0,3.0,3,3.0,60,863.48
Kakuro-hard-015-ext.xml.hg,3.9999989966666667,4.0,4,4.0,60,460.93
Kakuro-hard-016-ext.xml.hg,3.0,3.0,3,3.0,60,1255.19
Kakuro-hard-017-ext.xml.hg,3.0,3.0,3,3.0,60,1578.63
Kakuro-hard-018-ext.xml.hg,3.0,3.0,3,3.0,60,760.88
Kakuro-hard-019-ext.xml.hg,3.0,4.0,3,4.0,60,887.5
Kakuro-hard-020-ext.xml.hg,1.1428565714285714,4.0,2,4.0,19,385.34
Kakuro-hard-021-ext.xml.hg,3.0,3.0,3,3.0,60,1003.35
Kakuro-hard-022-ext.xml.hg,3.0,3.0,3,3.0,60,1272.7
Kakuro-hard-023-ext.xml.hg,1,4.0,1,4.0,3,48.52
Kakuro-hard-024-ext.xml.hg,3.0,3.0,3,3.0,60,1867.39
Kakuro-hard-025-ext.xml.hg,3.0,4.0,3,4.0,60,802.15
Kakuro-hard-026-ext.xml.hg,3.0,4.0,3,4.0,60,1046.28
Kakuro-hard-027-ext.xml.hg,3.0,4.0,3,4.0,60,1007.46
Kakuro-hard-028-ext.xml.hg,3.0,4.0,3,4.0,60,1281.43
Kakuro-hard-029-ext.xml.hg,2.0,3.0,2,3.0,60,929.31
Kakuro-hard-030-ext.xml.hg,1.286842605051912,4.0,2,4.0,24,391.1
Kakuro-hard-031-ext.xml.hg,3.0,4.0,3,4.0,60,888.88
Kakuro-hard-032-ext.xml.hg,3.0,3.0,3,3.0,60,1631.44
Kakuro-hard-033-ext.xml.hg,3.0,4.0,3,4.0,60,1226.42
Kakuro-hard-034-ext.xml.hg,3.0,3.0,3,3.0,60,1427.81
Kakuro-hard-035-ext.xml.hg,3.0,3.0,3,3.0,60,602.6
Kakuro-hard-036-ext.xml.hg,3.0,3.0,3,3.0,60,515.86
Kakuro-hard-037-ext.xml.hg,4.0,5.0,4,5.0,60,1055.32
Kakuro-hard-038-ext.xml.hg,3.0,4.0,3,4.0,60,914.19
Kakuro-hard-039-ext.xml.hg,4.0,4.0,4,4.0,60,688.34
Kakuro-hard-040-ext.xml.hg,3.0,4.0,3,4.0,60,1239.61
